,Date,Description,Location
333,2/1/2022 21:18,Designated Patrol Area,9300 BLOCK JEFF FUQUA BLVD
334,2/1/2022 21:16,Threats/assault,3900 BLOCK SIGNAL HILL RD
335,2/1/2022 21:12,Drug violation,S IVEY LN / W CYPRESS ST
336,2/1/2022 21:01,General disturbance,1500 BLOCK AARON AVE
337,2/1/2022 21:00,Accident (minor),DARDANELLE DR / SILVER STAR RD
338,2/1/2022 20:57,Domestic disturbance,Restricted Address
339,2/1/2022 20:42,House/business check,S PARRAMORE AVE / W SOUTH ST
340,2/1/2022 20:38,Trespasser,1300 BLOCK N MILLS AVE
341,2/1/2022 20:37,Unknown trouble,6300 BLOCK INTERNATIONAL DR
342,2/1/2022 20:37,Suspicious person,S IVEY LN / W CYPRESS ST
343,2/1/2022 20:28,House/business check,N PARRAMORE AVE / OSSIE ST
344,2/1/2022 20:13,Suspicious vehicle,2900 BLOCK E COLONIAL DR
345,2/1/2022 19:37,Accident with road blockage,UNIVERSAL BLVD / I-4 E
346,2/1/2022 18:52,Recovered stolen vehicle,6000 BLOCK AMBERLY AVE
347,2/1/2022 17:40,Recovered stolen vehicle,4700 BLOCK CASON COVE DR
348,2/1/2022 17:34,Missing person - adult,600 BLOCK E ROLLINS ST
349,2/2/2022 16:37,House/business check,5200 BLOCK INTERNATIONAL DR
350,2/2/2022 16:34,Suspicious person,8000 BLOCK VISTA RESERVE BLVD
351,2/2/2022 16:31,Missing person - juvenile,1600 BLOCK WATAUGA AVE
352,2/2/2022 16:30,General disturbance - armed,7500 BLOCK TOSCANA BLVD
353,2/2/2022 16:26,Suspicious person,E JEFFERSON ST / ROSEARDEN DR
354,2/2/2022 16:22,Unknown trouble,3200 BLOCK VERA AVE
355,2/2/2022 16:21,Suspicious person,2800 BLOCK S ORANGE AVE
356,2/2/2022 16:17,General disturbance,2400 BLOCK CONWAY RD
